date,Stock Name,negative,neutral,positive,sent_index,sent_roll5,next_ret
2022-02-09,META,5,24,4,-0.087719298245614,-0.1259818855580892,-0.016939655172413803
2022-02-10,META,0,7,2,0.7407407407407407,0.1005976351390785,-0.037356951813039774
2022-02-11,META,6,8,1,-0.6410256410256411,-0.1609408263993829,-0.008426326577089638
2022-02-14,META,2,5,0,-0.8,-0.4257712657712658,0.015158474965548896
2022-02-15,META,2,13,1,-0.2325581395348837,-0.6204310418263908,-0.020180995475113206
2022-02-16,META,4,11,2,-0.2816901408450704,-0.5485639417902766,-0.04077768541608928
2022-02-17,META,3,6,0,-0.8333333333333333,-0.5723734655998004,-0.007462327283231485
2022-02-18,META,2,8,0,-0.7142857142857143,-0.5723734655998004,-0.019790454016297976
2022-02-22,META,4,8,1,-0.5172413793103449,-0.4438098750471976,-0.017963182897862362
2022-02-23,META,3,14,2,-0.15625,-0.3322027321900547,0.046107331821617636
2022-02-24,META,2,6,2,0.0,-0.1503845503718729,0.01387283236994219
2022-02-25,META,5,12,0,-0.8064516129032258,-0.4293219317760474,0.0026130748764727763
2022-02-28,META,2,5,1,-0.2857142857142857,-0.5590128898684299,-0.03572951713026584
2022-03-01,META,1,1,0,-0.9090909090909092,-0.7408310716866117,0.02270381836945301
2022-03-02,META,2,1,2,0.0,-0.5795407491059665,-0.024698476767094357
2022-03-03,META,2,4,0,-0.8333333333333334,-0.5722943722943723,-0.014337094151845031
2022-03-04,META,4,6,0,-0.8695652173913044,-0.5795407491059665,-0.06293112066380091
2022-03-07,META,4,10,3,-0.125,-0.3728260869565217,0.015042406785085616
2022-03-08,META,1,7,0,-0.588235294117647,-0.3238064791133845,0.04314467391875554
2022-03-09,META,2,9,1,-0.2564102564102564,-0.2011754869171749,-0.016574307304785818
2022-03-10,META,0,3,0,0.0,-0.027262443438914,-0.03893243174017724
2022-03-11,META,3,5,3,0.0,-0.1939291101055807,-0.0052236021534034505
2022-03-14,META,4,3,0,-0.9302325581395348,-0.4230835486649439,0.028934254942935222
2022-03-15,META,1,6,1,0.0,-0.4230835486649439,0.06040722803728582
2022-03-16,META,1,8,0,-0.5555555555555556,-0.5341946597760552,0.02067475322889556
2022-03-17,META,0,7,2,0.7407407407407407,-0.2971576227390181,0.041618552732871406
2022-03-18,META,3,7,0,-0.8108108108108107,-0.3111716367530321,-0.023095755000230977
2022-03-21,META,3,5,2,-0.1818181818181818,-0.3503776503776504,0.024398316705281475
2022-03-22,META,0,14,0,0.0,-0.4985257985257985,-0.014724209554581091
2022-03-23,META,1,4,3,0.4545454545454545,-0.2454545454545455,0.02862362971985366
2022-03-24,META,1,8,0,-0.5555555555555556,-0.2232323232323232,0.010247301543926834
2022-03-25,META,1,13,1,0.0,-0.0565656565656566,0.007979442791452573
2022-03-28,META,1,1,0,-0.9090909090909092,-0.417929292929293,0.02804239903394601
2022-03-29,META,0,8,0,0.0,-0.3068181818181818,-0.00874445314539296
2022-03-30,META,0,5,2,0.8,-0.1468181818181818,-0.024094799210006457
2022-03-31,META,2,5,0,-0.8,-0.1818181818181818,0.011198057204533152
2022-04-01,META,0,5,0,0.0,-0.1818181818181818,0.04020458083166556
2022-04-04,META,1,12,2,0.238095238095238,0.0209523809523808,-0.008764803967677093
2022-04-05,META,2,11,1,-0.2439024390243902,0.1321718931475028,-0.03683574879227047
2022-04-06,META,0,3,0,0.0,0.1321718931475028,-0.0015673981191223207
2022-04-07,META,1,7,1,0.0,0.1321718931475028,-0.0027808925768108006
2022-04-08,META,0,5,0,0.0,-0.0011614401858304,-0.02640219493545637
2022-04-11,META,1,4,1,0.0,0.1249999999999999,-0.010717915550217283
2022-04-12,META,0,3,1,0.7692307692307692,0.2788461538461538,0.003969365835434946
2022-04-13,META,4,8,0,-0.8333333333333334,0.1121794871794871,-0.022373133634122522
2022-04-14,META,0,4,0,0.0,0.1121794871794871,0.0028071177086306243
2022-04-18,META,0,3,1,0.7692307692307692,0.5934065934065933,0.031029083835460325
2022-04-19,META,0,8,2,0.7142857142857143,0.7362637362637362,-0.07772306842759202
2022-04-20,META,3,10,1,-0.4,0.5024175824175824,-0.061620596746831624
2022-04-21,META,3,15,1,-0.3636363636363636,0.2868331668331668,-0.02105598979103518
2022-04-22,META,2,13,3,0.1587301587301587,0.1757220557220556,0.015642822225843123
2022-04-25,META,2,19,1,-0.2040816326530612,-0.038319306642288,-0.032301192577143256
2022-04-26,META,4,12,1,-0.4838709677419354,-0.0623662274634023,-0.03315833103067145
2022-04-27,META,31,72,21,-0.1689189189189189,-0.1278960429932179,0.17593598170905977
2022-04-28,META,5,15,12,0.3783783783783784,-0.0522203673175422,-0.025567491372186835
2022-04-29,META,3,10,1,-0.4,-0.1756986281871074,0.053175038659150964
2022-05-02,META,2,6,1,-0.2777777777777778,-0.0598798798798799,0.004262776488419551
2022-05-03,META,0,5,0,0.0,-0.1355555555555556,0.053671650238173774
2022-05-04,META,2,7,2,0.0,-0.0555555555555555,-0.06772302045566447
2022-05-05,META,3,4,1,-0.4545454545454545,-0.1464646464646464,-0.021653543307086576
2022-05-06,META,0,2,1,0.8333333333333334,0.0202020202020202,-0.037100652696667846
2022-05-09,META,2,5,0,-0.8,-0.4248221343873518,0.007339075480352619
2022-05-10,META,0,5,2,0.8,-0.1739130434782609,-0.04507968631419168
2022-05-11,META,4,5,1,-0.5454545454545454,-0.4496706192358367,0.013245734873370774
2022-05-12,META,2,6,0,-0.7692307692307692,-0.4368501064153237,0.038590253085128534
2022-05-13,META,1,3,0,-0.7692307692307692,-0.4167832167832168,0.00714933037961929
2022-05-16,META,0,3,1,0.7692307692307692,-0.0109890109890109,0.012897420515896929
2022-05-17,META,0,4,1,0.7142857142857143,0.2857142857142857,-0.051228901391767834
2022-05-18,META,2,8,0,-0.7142857142857143,0.2967032967032966,-0.004941739492301367
2022-05-19,META,4,5,0,-0.8888888888888888,-0.0239316239316239,0.01176224580479901
2022-05-20,META,1,1,1,0.0,-0.0239316239316239,0.013898935620543451
2022-05-23,META,8,6,1,-0.7291666666666667,-0.6308574879227054,-0.07618610813840898
2022-05-24,META,6,14,1,-0.5952380952380952,-0.5721273291925466,0.014066637246249014
2022-05-25,META,2,6,2,0.0,-0.5721273291925466,0.042430506446172966
2022-05-26,META,2,3,0,-0.8695652173913044,-0.5721273291925466,0.01826436361738759
2022-05-27,META,1,2,1,0.0,-0.4387939958592133,-0.007635935017680562
2022-05-31,META,2,5,0,-0.8,0.0066666666666666,-0.02582111134063214
2022-06-01,META,5,5,2,-0.4,-0.0733333333333333,0.05417726887192553
2022-06-02,META,0,9,0,0.0,-0.0733333333333333,-0.040631600120688005
2022-06-03,META,5,2,1,-0.6451612903225806,-0.2023655913978495,0.018188489359471705
2022-06-06,META,0,2,1,0.8333333333333334,-0.0956989247311828,0.007207207207207134
2022-06-07,META,1,4,0,-0.7142857142857143,-0.2385560675883256,0.005060056222846887
2022-06-08,META,1,10,1,0.0,-0.1095238095238095,-0.06427990235964187
2022-06-09,META,2,3,1,-0.303030303030303,-0.1701298701298701,-0.04581521739130434
2022-06-10,META,1,2,0,-0.8333333333333334,-0.2034632034632034,-0.06441875035598343
2022-06-13,META,1,1,1,0.0,-0.2090909090909091,-0.0032265919883112115
